"","ID","N_C","N_E","sample","cit","year","design","sound","sound_type","db","task","measure","mean_C","var_C","mean_E","var_E","var_type","journal","IF","d","d_var","g","g_var","CI95_L","CI95_R"
"1",1,40,40,"adults","Sörqvist et al. (2010)",2010,"within","speech","native",72.5,"reading comprehension/ select word","num_correct",11.55,2.24,10.58,2.93,"SD","Applied Cognitive Psychology",1.481,-0.354420465814659,0.0136430692900995,-0.249051711417588,0.0131200613060753,-0.473555670209897,-0.0245477526252783
"2",2,70,116,"children","Ljung et al. (2009)",2009,"between","noise+speech",NA,62,"select word","prop_correct",0.69,0.19,0.69,0.165,"SD","Noise and Health",1.826,0.00664595981263166,0.0319717958271787,0.00667016916825545,0.0315881892106015,-0.341681933841683,0.355022272178194
"7",3,14,14,"children","Fogelson (1973)",1973,"between","music","popular",NA,"reading comprehension","num_correct",43.9,18.8,35.9,18.3,"SD","Perceptual and Motor Skills",0.618,-0.431227685781637,0.146177809231868,-0.418667656098676,0.137786604988093,-1.14621217138434,0.308876859186991
"8",4,75,76,"adults","Tucker & Bushman (1991)",1991,"between","music","rock and roll",80,"reading comprehension","num_correct",4.69,2.18,4.68,2.43,"SD","Perceptual and Motor Skills",0.618,-0.00433045826442038,0.0264912901657674,-0.00430862402107036,0.0262248245650887,-0.32171260327975,0.31309535523761
"9",5,24,24,"adults","Daoussis & McKelvie (1986)",1986,"between","music","rock",50,"reading comprehension","num_correct",9.14,3.55,7.6,2.16,"SD","Perceptual and Motor Skills",0.618,-0.524099132883553,0.0861945823030135,-0.515507343819888,0.0833916947838883,-1.08150869954422,0.050494011904447
"10",6,32,32,"adults","Etaugh & Michals (1975)",1975,"within","music","preferred",NA,"reading comprehension","num_correct",7.6,NA,6.75,NA,NA,"Perceptual and Motor Skills",0.618,-0.109388400117345,0.0161420363967671,-0.0764726700264569,0.0153642226263101,-0.319419572952246,0.166474232899333
"11",7,20,20,"adults","Etaugh & Ptasnik (1982)",1982,"between","music","preferred",NA,"reading comprehension","num_correct",6.2,NA,4.8,NA,NA,"Perceptual and Motor Skills",0.618,-0.756306816047561,0.10715,-0.741280852814828,0.102934678303583,-1.37011617320566,-0.112445532423993
"13",8,18,18,"children","Kiger (1989)",1989,"between","music","high information load",NA,"reading comprehension","num_correct",12,0.4,11.6,0.7,"SD","Perceptual and Motor Skills",0.618,-0.701646415445624,0.117948717948718,-0.686054272880166,0.112764798987021,-1.34423149201536,-0.0278770537449691
"12",9,49,147,"adults","Miller & Schyb (1989)",1989,"between","music","classical+pop+vocal",47.5,"reading comprehension","num_correct",8.3,0.55,8.2,0.583333333333333,"SE","Journal of Music Therapy",0.786,-0.038274526337971,0.0412942572274903,-0.0379747258705717,0.0406498833835502,-0.433146324048182,0.357196872307038
"17",10,56,56,"adults","Doyle & Furnham (2012)",2012,"within","music","vocal",NA,"reading comprehension","num_correct",4.825,2.74,5.235,2.845,"SD","Thinking Skills and Creativity",1.022,0.146645976000513,0.00926775412827623,0.103642680190618,0.00901558217320022,-0.0824601421323278,0.289745502513564
"18",11,334,334,"children","Anderson & Fuller (2010)",2010,"within","music","lyrical",75,"reading comprehension","num_correct",30.56,10.21,26.49,10.7,"SD","School Psychology Quarterly",2.75,-0.388563674341014,0.00165340008711142,-0.27780564443129,0.00164595514307908,-0.357323574973103,-0.198287713889477
"14",12,76,76,"children","Furnham & Strbac (2002)",2002,"within","noise+music",NA,NA,"reading comprehension","num_correct",23.93,3.12,19.505,4.0675,"SD","Ergonomics",1.449,-1.14040716271746,0.0111535254258586,-0.808982836664189,0.0109308316876996,-1.01390204760222,-0.604063625726154
"15",13,45,45,"children","Mullikin & Henk (1985)",1985,"within","music","classical+rock",NA,"reading comprehension","num_correct",8.428,1.4044,8.402,1.3465,"SD","Journal of Reading",0.171,-0.0188745381866486,0.0114125458387718,-0.0185509746748775,0.0110246124438931,-0.224347357452757,0.187245408103002
"16",14,19,39,"children","Avila et al. (2011)",2011,"between","music","vocal+instrumental",NA,"reading comprehension","num_correct",13.42,0.5,7.945,0.82,"SE","Psychology of Music",2.01,-1.80463105000877,0.146704763135978,-1.76723957080473,0.140690523131469,-2.50241078464668,-1.03206835696277
"19",15,43,165,"adults","Freeburne & Fleischer (1952)",1952,"between","music","various",NA,"reading comprehension","num_correct",13.4,5.81,13.09,7.03,"SD","Journal of Educational Psychology",3.256,-0.0497322743908184,0.0477104404750223,-0.0492490596775816,0.0468388939139043,-0.473438044517658,0.374939925162495
"33",16,61,62,"adults","Fendrick (1937)",1937,"between","music","semi-classical",NA,"reading comprehension","num_correct",33.69,1.11,29.58,1.11,"SE","The Journal of Educational Research",1.218,-0.472135542422741,0.03342862110223,-0.469203023525706,0.033014648362991,-0.825333720252716,-0.113072326798695
"110",17,19,31,"adults","Henderson et al. (1945)",1945,"between","music","classical+pop",NA,"reading comprehension","num_correct",49.2,NA,34.5,NA,NA,"Journal of Applied Psychology",3.81,-0.609166822710972,0.126995829042085,-0.594439228421991,0.121112887615577,-1.27654425630553,0.0876657994615468
"111",18,13,59,"adults","Miller (2014)",2014,"between","music","classical+rock",NA,"reading comprehension","num_correct",15.077,2.139,14.18525,1.9895,"SD","NA",NA,-0.398739930798481,0.152826785653865,-0.38635008814177,0.143749831934595,-1.12947144724803,0.356771270964493
"112",19,16,32,"adults","Furnham & Allass (1999)",1999,"between","music","complex+simple",NA,"reading comprehension","num_correct",8,2.855,7.9075,1.83,"SD","European Journal of Personality",3.989,-0.038575292389761,0.125026121094268,-0.0376028060269939,0.118801743199242,-0.713168329624971,0.637962717570983
"42",20,10,10,"adults","Furnham & Bradley (1997)",1997,"between","music","pop",NA,"reading comprehension","num_correct",9.3,1.835,7.7,1.29,"SD","Applied Cognitive Psychology",1.481,-1.00877380120313,0.225440614549845,-0.96614955608187,0.206791787676748,-1.85744711107627,-0.0748520010874715
"113",21,43,96,"children","Furnham at al. (1999)",1999,"between","music","vocal+instrumental",NA,"reading comprehension","num_correct",7.78,1.9,7.595,2.005,"SD","Personality and Individual Differences",1.946,-0.0961873052292058,0.0441532175655886,-0.0953770815217784,0.0434099492278539,-0.503744147962895,0.312989984919338
"114",22,30,30,"adults","Perham & Currie (2014)",2014,"within","music","lyrical+ non-lyrical",70,"reading comprehension","prop_correct",0.607869289468922,0.04559421300485,0.427882647694455,0.0465715113772943,"SE","Applied Cognitive Psychology",1.481,-0.712811142201727,0.0214640290443287,-0.694216068926899,0.0203587735600801,-0.973877050310437,-0.414555087543361
"48",23,13,12,"adults","Kelly (1994)",1994,"between","music","pop",65,"reading comprehension","num_correct",54.92,8.47,48.17,9.08,"SD","Southeastern Journal of Music Education",NA,-0.769929533028814,0.17211223997301,-0.744547240731161,0.160951236124983,-1.5308743156165,0.0417798341541795
"115",24,28,56,"adults","Dove (2009)",2009,"between","music","sedative+stimulative",62.5,"reading comprehension","num_correct",163.214285714286,13.601081500727,168.946428571429,12.4097307786457,"SD","NA",NA,0.462251963453717,0.0744896714698676,0.455801936056689,0.0724253930674252,-0.0716726036206503,0.983276475734027
"53",25,20,20,"adults","Furnham et al. (1994)",1994,"within","speech","TV drama",NA,"reading comprehension","num_correct",8.65,2.115,7.2,2.32,"SD","Applied Cognitive Psychology",1.481,-0.649197322101347,0.0310838279495823,-0.446587745146553,0.028646855838335,-0.778325233815753,-0.114850256477352
"116",26,22,44,"children","Johansson (1983)",1983,"between","noise","continuous+intermittent",59.2,"select word","prop_correct",96.55,4.38,97.54,3.495,"SD","Ergonomics",1.449,0.24917745737598,0.0916318264773274,0.244701215626711,0.0883692353592526,-0.337947267213591,0.827349698467012
"117",27,28,28,"adults","Halin (2016)",2016,"within","speech+noise",NA,60,"reading comprehension (easy font)","prop_correct",0.512266197933391,0.0294277382938876,0.453549188224004,0.0273391034053076,"SE","Frontiers in Psychology",2.463,-0.389164551508465,0.0197269859641951,-0.378253395858695,0.0186363071175416,-0.645822522296608,-0.110684269420782
"63",29,30,30,"adults","Cauchard et al. (2012)",2012,"within","music+speech",NA,65,"reading comprehension","prop_correct",0.87,0.03,0.865,0.03,"SE","Applied Cognitive Psychology",1.481,-0.0304290309725093,0.0171236939947015,-0.0296352301645308,0.0162419370487361,-0.279425192665879,0.220154732336817
"119",30,24,24,"adults","Johansson et al. (2012)",2012,"within","music+noise",NA,65,"reading comprehension","prop_correct",62.5,24.5,45.3333333333333,28.8,"SD","Psychology of Music",2.01,-0.6303739830575,0.0256455355261897,-0.609592423176483,0.0239824933117755,-0.913123552233318,-0.306061294119648
"33.1",33,36,36,"adults","Martin et al. (1988), Exp.1",1988,"within","music+speech+noise",NA,82,"reading comprehension","perc_correct",72.1,NA,67.54,NA,NA,"Journal of Memory and Language",5.218,-0.149020159429155,0.0145094873039975,-0.104478752992372,0.0138899372276144,-0.335475685555563,0.126518179570819
"121",34,36,36,"adults","Martin et al. (1988), Exp.2",1988,"within","music","vocal+instrumental",82,"reading comprehension","perc_correct",67,NA,64.5,NA,NA,"Journal of Memory and Language",5.218,-0.0392620850722966,0.0143097536934449,-0.0275268373349452,0.0136987321729702,-0.256928340197682,0.201874665527791
"122",35,48,48,"adults","Martin et al. (1988), Exp.4",1988,"within","noise+speech",NA,82,"reading comprehension","perc_correct",69.4,NA,62.9666666666667,NA,NA,"Journal of Memory and Language",5.218,-0.267533823560436,0.0111639547678048,-0.188631301638318,0.0108086262866768,-0.392401806724058,0.0151392034474217
"123",36,48,48,"adults","Martin et al. (1988), Exp.5",1988,"within","noise+speech",NA,82,"reading comprehension","perc_correct",67.5,NA,57.1,NA,NA,"Journal of Memory and Language",5.218,-0.353379083955473,0.0114049115220042,-0.249158613633088,0.0110419138233571,-0.455116415485333,-0.0432008117808428
"124",37,9,9,"children","Cool et al. (1994), Exp.2",1994,"within","speech+music",NA,NA,"reading comprehension","prop_correct",84,13.8,80.195,15.65,"SD","The Journal of Experimental Education",1.638,-0.255010203515658,0.0589076367815176,-0.23033179672382,0.0480578431183245,-0.660004940082066,0.199341346634425
"94",38,91,91,"children","Mitchell (1949)",1949,"within","music","radio/ generic",NA,"reading test (composite)","reading_score",147.31,NA,147.2,NA,NA,"The Journal of Educational Research",1.218,-0.0081008514038581,0.00564274669054121,-0.00575632179002847,0.00554883298990876,-0.151757680735873,0.140245037155817
"125",39,33,62,"adults","Armstrong et al. (1991)",1991,"between","speech","TV ads+drama",NA,"reading comprehension","reading_score",9.23,NA,7.775,NA,NA,"Communications Monographs",2.029,-0.563489398535337,0.0651298595328283,-0.556628898794135,0.0635562820535566,-1.050752176061,-0.062505621527274
"126",40,30,60,"children","Pool et al. (2000), Exp.1",2000,"between","speech+music",NA,60,"reading comprehension","prop_correct",0.755,0.095,0.7275,0.0875,"SD","Communication Research",1.976,-0.30221371407049,0.0674895189968183,-0.298288860641003,0.0657479274288451,-0.800859490513712,0.204281769231705
"127",41,48,48,"children","Pool et al. (2000), Exp.2",2000,"between","speech+music",NA,60,"reading comprehension","prop_correct",0.76,0.105,0.72,0.1175,"SD","Communication Research",1.976,-0.338311843517473,0.0636854640976899,-0.33467408175922,0.0623232475572722,-0.823980721624261,0.154632558105821
"128",42,52,104,"children","Dockrell & Shield (2006)",2006,"between","noise",NA,65,"reading comprehension","reading_score",33.45,11.62,33.535,10.59,"SD","British Educational Research Journal",1.124,0.0450846607856602,0.0398542356685785,0.0447523414186897,0.039268869289176,-0.343648596094724,0.433153278932103
"129",43,42,42,"adults","Hyönä & Ekholm (2016), Exp.1",2016,"within","speech","native+foreign",82.5,"reading comprehension","perc_correct",78,15,76.25,13.75,"SD","PloS One",3.057,-0.120965268666322,0.0123149957878763,-0.118738914028291,0.0118658546490133,-0.332242701394346,0.0947648733377634
"1171",47,19,20,"adults","Armstrong & Chung (2000)",2000,"between","speech","native",NA,"reading comprehension","num_correct",7.84,1.46,7.7,1.49,"SD","Communication Research",1.976,-0.094884273848406,0.102747002350237,-0.0929478600963977,0.0985960405726554,-0.708387986724418,0.522492266531622
